Oldest Park by City Agency		
Agency	Park	Date of Creation
"Santa Ana Parks, Recreation and Community Services"	Birch Park	1894
"Essex County Department of Parks, Recreation and Cultural Affairs (within Newark)"	Branch Brook Park	1895
Plano Parks and Recreation Department	Harrington	1897
Albuquerque Parks and Recreation Department	Robinson Park	1899
Houston Parks and Recreation Department	Sam Houston Park	1899
"Norfolk Department of Recreation, Parks and Open Space"	Lafayette Park	1899
Nashville/Davidson Metropolitan Board of Parks and Recreation	Watkins	1901
Oklahoma City Parks and Recreation Department	Stiles Circle	1901
"Fresno Parks, After School, Recreation and Community Services Department"	Roeding Park	1904
"Reno Parks, Recreation and Community Services Department"	Wingfield Park	1905
Tampa Parks and Recreation Department	Plant Park	1905
Boise Parks and Recreation	Julia Davis Park	1907
Phoenix Parks and Recreation Department	Verde	1907
Bakersfield Recreation and Parks Department	Beale Park	1908
Glendale Parks and Recreation Department	Murphy Park	1909
St. Petersburg Parks & Recreation Department	Williams	1910
Tulsa Park and Recreation Department	Owen	1910
Miami Department of Parks and Recreation	Lummus Park	1912
Cincinnati Recreation Commission	Bold Face	1917
Anchorage Parks and Recreation Department	Delaney Park	1920
Chandler Community Services Department	Dr. A.J. Chandler Park	1921
"Las Vegas Department of Parks, Recreation and Neighborhood Services"	Lorenzi Park	1921
Lubbock Parks and Recreation	Pioneer	1923
"Arlington, Texas, Parks and Recreation Department"	Meadowbrook	1924
"Aurora Parks, Recreation and Open Space"	City Park	1926
Chula Vista Public Works Department - Parks Section	Eucalyptus	1926
"Orlando Families, Parks and Recreation Department"	Dickson-Azalea	1926
The Recreation and Park Commission for the Parish of East Baton Rouge	City Park	1926
Anaheim Community Services Department	Pearson	1927
City of Durham Parks and Recreation Department	Duke Park	1934
Greensboro Parks and Recreation Department	Country Park	1934
Chesapeake Parks and Recreation Department	Lakeside Park	1937
Arlington County Department of Parks and Recreation	Glencarlyn	1940
Irving Parks and Recreation	Luzon Park	1947
"Mesa Parks, Recreation and Commercial Facilities Department"	Pioneer Park	1947
Garland Parks and Recreation Department	Central Park	1948
Henderson Parks and Recreation Department	Downtown Park	1953
North Las Vegas Parks and Recreation Department	Brooks Tot Lot	1955
Tucson Parks and Recreation Department	Gene C. Reid Park	1965
Virginia Beach Department of Parks and Recreation	Red Wing Park	1966
Scottsdale Parks and Recreation Division	Eldorado Park	1967
Irvine Community Services Department	Willows Park	1970
Gilbert Parks and Recreation	Vaughn	n.a.
Lexington-Fayette Urban County Government Division of Parks and Recreation	Woodland	n.a.
District of Columbia Department of Parks and Recreation	n.a.	
Fremont Recreation Services Division	n.a.	
Hialeah Department of Recreation and Community Services	n.a.	
Hudson County Division of Parks (within Jersey City)	n.a.	
Laredo Parks and Leisure Services Department	n.a.	
Milwaukee Recreation	n.a.	
Stockton Community Services Department	n.a.	
Toledo Department of Public Service	n.a.	
		
