Most Visited Park by Major City Agency		
Agency	Park	Annual Visitation
"Norfolk Department of Recreation, Parks and Open Space"	Town Point Park	"412,500"
Glendale Parks and Recreation Department	Murphy Park	"395,000"
St. Petersburg Parks & Recreation Department	Vinoy	"369,400"
Arlington County Department of Parks and Recreation	Long Bridge Park	"360,000"
Indianapolis Department of Parks and Recreation	Eagle Creek Park	"324,421"
Cincinnati Recreation Commission	Dunham Complex	"300,000"
Baltimore City Department of Recreation and Parks	Druid Hill	"290,000"
Garland Parks and Recreation Department	Audubon Park	"256,500"
Gilbert Parks and Recreation	Freestone	"250,000"
E. Baton Rouge Recreation and Parks Department	Independence	"225,000"
"Aurora Parks, Recreation and Open Space"	Aurora Reservoir	"220,812"
"Las Vegas Department of Parks, Recreation and Neighborhood Services"	Floyd Lamb Park at Tule Springs	"200,000"
Miami Department of Parks and Recreation	Grapeland Water Park	"186,000"
Winston-Salem Recreation and Parks	Salem Lake	"105,000"
Chula Vista Public Works Department - Parks Section	Rohr	"100,000"
City of Durham Parks and Recreation Department	Forest Hills Park	"90,000"
"Riverside Parks, Recreation and Community Services Department"	Fairmount Park	"78,000"
"Omaha Department of Parks, Recreation and Public Property"	Lewis & Clark Landing	"67,000"
Lexington-Fayette Urban County Government Division of Parks and Recreation	Jacobson	"50,000"
Bakersfield Recreation and Parks Department	River Walk 	"22,000"
Jersey City Division of Parks and Forestry	Pershing Field	"20,000"
Anaheim Community Services Department	Pearson	n.a.
"Arlington, Texas, Parks and Recreation Department"	River Legacy	n.a.
Buffalo Division of Parks and Recreation	Delaware	n.a.
Chandler Community Services Department	Desert Breeze Park	n.a.
Chesapeake Parks and Recreation Department	Great Bridge Locks Park	n.a.
Cleveland Department of Public Works	Luke Easter	n.a.
Columbus Recreation and Parks Department	Schiller Park	n.a.
Corpus Christi Parks and Recreation Department	Cole	n.a.
El Paso Parks and Recreation Department	Eastwood	n.a.
"Essex County Department of Parks, Recreation and Cultural Affairs (within Newark)"	Branch Brook Park	n.a.
Fremont Recreation Services Division	Central Park	n.a.
Henderson Parks and Recreation Department	Mission Hills Park	n.a.
Louisville Metro Parks	Iroquois Park	n.a.
Lubbock Parks and Recreation	Mackenzie	n.a.
New Orleans Department of Parks and Parkways	Jackson Square	n.a.
"San Bernardino Parks, Recreation & Community Services"	Perris Hill Park	n.a.
Stockton Public Works Department	Victory	n.a.
Tampa Parks and Recreation Department	Bayshore Boulevard	n.a.
Tucson Parks and Recreation Department	Gene C. Reid Park	n.a.
Wichita Park and Recreation Department	Central Riverside Park	n.a.
District of Columbia Department of Parks and Recreation	n.a.	
Hialeah Department of Recreation and Community Services	n.a.	
Honolulu Department of Parks and Recreation (within Urban Honolulu)	n.a.	
Hudson County Division of Parks (within Jersey City)	n.a.	
Irving Parks and Recreation	n.a.	
Laredo Parks and Leisure Services Department	n.a.	
"Mesa Parks, Recreation and Commercial Facilities Department"	n.a.	
Milwaukee Recreation	n.a.	
North Las Vegas Parks and Recreation Department	n.a.	
Toledo Department of Public Service	n.a.	
Plano Parks and Recreation Department		
Portland Parks and Recreation		
"Reno Parks, Recreation and Community Services Department"		
		"244,774,794"
