"Employees Per 10,000 Residents by City Agency"						
						
2013						
"Employees are full-time and part-time employees, counted as Full-Time Equivalent (FTE); seasonal staff are not counted. Italics indicate estimates based on past-year data. Note that Boston, Cincinnati, New Orleans, and Washington, D.C. have two major city park agencies."						
Agency	Population	Fiscal Year	"Regular, Non-Seasonal Employees"	"Employees per 10,000 Residents"		
"Long Beach Department of Parks, Recreation and Marine"	"467,892"	2012      	272	5.8		
Fort Worth Parks and Community Services Department	"777,992"	2012      	437	5.6		
Cincinnati Recreation Commission	"296,550"	2012      	166	5.6		
San Diego Park and Recreation Department	"1,338,348"	2012      	731	5.5		
Albuquerque Parks and Recreation Department	"555,417"	2012      	300	5.4		
Baltimore City Department of Recreation and Parks	"621,342"	2012      	324	5.2		
San Antonio Parks and Recreation Department	"1,382,951"	2012      	690	5.0		
Phoenix Parks and Recreation Department	"1,488,750"	2013      	742	5.0		
Sacramento Department of Parks and Recreation	"475,516"	2013      	236	5.0		
Lincoln Parks and Recreation Department	"265,404"	2010	128	4.8		
Louisville Metro Parks	"750,828"	2012      	357	4.8		
Fort Wayne Parks and Recreation Department	"254,555"	2012      	120	4.7		
Winston-Salem Recreation and Parks	"234,349"	2012      	106	4.5		
"Arlington, Texas, Parks and Recreation Department"	"375,600"	2012      	166	4.4		
City of Durham Parks and Recreation Department	"239,358"	2013      	103	4.3		
Lexington-Fayette Urban County Government Division of Parks and Recreation	"305,489"	2013      	129	4.2		
Bakersfield Recreation and Parks Department	"358,597"	2013      	149	4.2		
Cincinnati Park Board	"296,550"	2011      	123	4.1		
Indianapolis Department of Parks and Recreation	"834,852"	2012      	344	4.1		
Wichita Park and Recreation Department	"385,577"	2012      	158	4.1		
El Paso Parks and Recreation Department	"672,538"	2011      	267	4.0		
Anchorage Parks and Recreation Department	"298,610"	2012      	118	4.0		
Philadelphia Parks and Recreation Department	"1,547,607"	2013      	596	3.9		
New Orleans Recreation Department	"369,250"	2010	135	3.7		
Los Angeles Department of Recreation and Parks	"3,857,799"	2012      	"1,399"	3.6		
Massachusetts Department of Conservation and Recreation (within Boston)	"636,479"	2013      	221	3.5		
"Colorado Springs Parks, Recreation and Cultural Services"	"431,834"	2012      	149	3.5		
Jacksonville Recreation and Community Services Department	"836,507"	2012      	288	3.4		
Lubbock Parks and Recreation	"236,065"	2012      	81	3.4		
Houston Parks and Recreation Department	"2,160,821"	2012      	727	3.4		
Columbus Recreation and Parks Department	"809,798"	2012      	271	3.3		
"Omaha Department of Parks, Recreation and Public Property"	"421,570"	2012      	140	3.3		
New Orleans Department of Parks and Parkways	"369,250"	2012      	120	3.2		
Memphis Division of Parks and Neighborhoods	"655,155"	2011      	206	3.1		
"San Jose Department of Parks, Recreation and Neighborhood Services"	"982,765"	2013	306	3.1		
Boston Parks and Recreation Department	"636,479"	2012      	191	3.0		
Tulsa Park and Recreation Department	"393,987"	2013      	118	3.0		
"Mesa Parks, Recreation and Commercial Facilities Department"	"452,084"	2013      	135	3.0		
Oklahoma City Parks and Recreation Department	"599,199"	2013      	175	2.9		
Mecklenburg County Park and Recreation	"969,031"	2012      	256	2.6		
Buffalo Division of Parks and Recreation	"259,384"	2012      	61	2.4		
Gilbert Parks and Recreation	"221,140"	2012      	52	2.4		
"Milwaukee County Department of Parks, Recreation and Culture (within Milwaukee city)"	"598,916"	2012      	128	2.1		
"Reno Parks, Recreation and Community Services Department"	"231,027"	2013      	48	2.1		
"Las Vegas Department of Parks, Recreation and Neighborhood Services"	"596,424"	2012      	120	2.0		
"Santa Ana Parks, Recreation and Community Services"	"330,920"	2013      	66	2.0		
Jersey City Division of Parks and Forestry	"254,441"	2013      	49	1.9		
Chula Vista Public Works Department -- Parks Section	"252,422"	2013      	37	1.5		
Stockton Public Works Department -- Parks Division	"297,984"	2012      	39	1.3		
"Essex County Department of Parks, Recreation and Cultural Affairs (within Newark)"	"277,727"	2012      	35	1.3		
"San Bernardino Parks, Recreation & Community Services"	"213,295"	2010	24	1.1		
"Fresno Parks, After School, Recreation and Community Services Department"	"505,882"	2013	50	1.0		
Detroit Recreation Department	"701,475"	2013	45	0.6		
Boise Parks and Recreation	"212,303"	2009	n.a.			
Toledo Department of Public Service	"284,012"	2009	n.a.			
Fremont Recreation Services Division	"221,986"	2010	n.a.			
Hialeah Department of Recreation and Community Services	"231,941"	2010	n.a.			
Honolulu Department of Parks and Recreation	"345,610"	2010	n.a.			
Irving Parks and Recreation	"225,427"	2010	n.a.			
Laredo Parks and Leisure Services Department	"244,731"	2010	n.a.			
TOTAL			"35,049"			
MEDIAN				5.3		
						
n.a. = not available						
