"Spending on Parks and Recreation by City, Adjusted for Price of Living"								
Most Recently Reported Fiscal Year								
"Total Spending includes both operating and capital spending by all park agencies in the city, but excludes professional sports stadiums, zoos, museums, aquariums, and cemeteries. If a city has more than one agency, expenditures are combined. Italics indicate cities whose spending is estimated based on past-year information."								
A Price of Living Score of 100 indicates median housing and transportation costs in the 100 most populous cities. The cost of living is calculated using the Department of Housing and Urban Development's Location Affordability Index.								
								
City	Fiscal Year of Primary Agency	Total Spending	Population	HUD Housing + Transportation Costs	Price of Living Score	Price of Living Multiplier	Total Spending per Resident	Adjusted Spending Reflecting Cost of Living
Riverside	2012	"$21,065,465"	"313,673"	"30,126"	119	 0.84 	$67	$56
Sacramento	2013	"$96,634,663"	"475,516"	"28,355"	112	 0.89 	$203	$181
San Antonio	2012	"$71,862,249"	"1,382,951"	"22,641"	89	 1.12 	$52	$58
San Diego	2012	"$143,983,026"	"1,338,348"	"32,165"	127	 0.79 	$108	$85
San Francisco	2013	"$169,267,342"	"825,863"	"30,283"	120	 0.84 	$205	$171
San Jose	2013	"$97,892,452"	"982,765"	"37,966"	150	 0.67 	$100	$66
Santa Ana	2013	"$11,758,555"	"330,920"	"29,339"	116	 0.86 	$36	$31
Scottsdale	2013	"$32,890,933"	"223,514"	"30,085"	119	 0.84 	$147	$124
Seattle	2012	"$151,654,071"	"634,535"	"28,122"	111	 0.90 	$239	$215
St. Louis	2013	"$37,032,059"	"318,172"	"21,290"	84	 1.19 	$116	$138
St. Paul	2012	"$72,740,719"	"290,770"	"25,420"	100	 1.00 	$250	$249
St. Petersburg	2012	"$32,320,108"	"246,541"	"25,097"	99	 1.01 	$131	$132
Stockton	2012	"$3,922,565"	"297,984"	"28,801"	114	 0.88 	$13	$12
Tampa	2012	"$45,678,899"	"347,645"	"25,096"	99	 1.01 	$131	$133
Tucson	2012	"$49,868,750"	"524,295"	"22,305"	88	 1.14 	$95	$108
Tulsa	2013	"$15,435,944"	"393,987"	"21,852"	86	 1.16 	$39	$45
Virginia Beach	2012	"$75,871,300"	"447,021"	"28,803"	114	 0.88 	$170	$149
"Washington, D.C."	Note A	"$181,652,731"	"632,323"	"29,124"	115	 0.87 	$287	$250
Wichita	2012	"$16,921,618"	"385,577"	"21,389"	84	 1.18 	$44	$52
Winston-Salem	2012	"$11,026,603"	"234,349"	"22,485"	89	 1.13 	$47	$53
Baton Rouge		n.a.	"230,058"	"22,326"	88	 1.13 		
Boise		n.a.	"212,303"	"23,459"	93	 1.08 		
Chandler		n.a.	"245,628"	"26,803"	106	 0.94 		
Fremont		n.a.	"221,986"	"37,096"	146	 0.68 		
Garland		n.a.	"233,564"	"25,357"	100	 1.00 		
Hialeah		n.a.	"231,941"	"25,885"	102	 0.98 		
Honolulu		n.a.	"345,610"	"30,140"	119	 0.84 		
Irving		n.a.	"225,427"	"24,230"	96	 1.05 		
Laredo		n.a.	"244,731"	"22,744"	90	 1.11 		
Lincoln		n.a.	"265,404"	"22,480"	89	 1.13 		
North Las Vegas		n.a.	"223,491"	"28,692"	113	 0.88 		
San Bernardino		n.a.	"213,295"	"27,852"	110	 0.91 		
Toledo		n.a.	"284,012"	"20,905"	83	 1.21 		
"Median, All Cities:"		"$6,200,648,662"		"25,324"	100	1.0	$73	$81
								
